External_ID,Molecule SMILES,First Sample Reg. Date,SAU Gyr IC50 (µM),SAU Gyr Ki (µM),Sau516 MIC (µg/ml),Sau516  MIC (µM),Mean Human Prot binding (% free),Mean LogD,Determination of pKa HA1,Determination of pKa HA2,Determination of pKa B1,Determination of pKa B2,Sirius pKa
AZ1152,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)SCC(C)C)C(=O)O)Cl)Cl,8/11/2003,<0.00977,0.00534,0.5,,,,,,,,
AZ1153,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3ccc(o3)C(=O)OC)Cl)Cl,8/12/2003,0.0558,,>64,,,4.08,,,,,
AZ1154,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3ncc(s3)C(=O)NOC)Cl)Cl,8/12/2003,0.0531,,8,,1.2,3.1,,,,,
AZ1155,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3ncc(s3)C(=O)O)Cl)Cl,8/12/2003,<0.0618,0.0166,10.6,28.35,5.95,0.02,,,,,
AZ1156,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nc(cs3)C(=O)NOC)Cl)Cl,8/12/2003,0.0743,,16,,0.7333,3.16,,,,,
AZ1157,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nc(cs3)C(=O)O)Cl)Cl,8/12/2003,0.018,0.0217,8,19.72,0.7833,0.135,,,,,
AZ1158,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)SC(C)C)C(=O)O)Cl)Cl,8/15/2003,0.0111,0.00919,2,,,1.97,,,,,
AZ1159,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)SC(C)(C)C)C(=O)O)Cl)Cl,8/15/2003,<0.00977,0.00801,1,,,,,,,,
AZ1160,CCCCOc1cc(cc(n1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl)C(=O)O,8/19/2003,<0.00977,0.00855,0.5,,,2.93,,,,,
AZ1161,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)OCC(CO)O)C(=O)NOC)Cl)Cl,8/19/2003,0.0315,0.0293,64,,2.2,2.11,,,,,
AZ1162,CCOC(=O)c1c(nc(s1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl)C,8/25/2003,0.383,,>64,,,4.4,,,,,
AZ1163,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc([nH]c(=O)n3)C(=O)O)Cl)Cl,8/26/2003,0.0117,0.0107,>64,,10.5,,,,,,
AZ1164,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc([nH]c(=O)n3)C(=O)NOC)Cl)Cl,8/26/2003,0.0113,0.0087,>64,,1.3,0.04,,,,,
AZ1165,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)OCCN(C)C)C(=O)O)Cl)Cl,8/26/2003,0.0211,0.0191,>64,,15,0.62,,,,,
AZ1166,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cccc(c3)C(=O)OC)Cl)Cl,8/26/2003,0.457,,>64,,,4.4,,,,,
AZ1167,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)N4CCCC4)C(=O)O)Cl)Cl,8/28/2003,0.0537,,>64,,<0.5,,,,,,
AZ1168,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)OCCN(C)C)C(=O)NOC)Cl)Cl,9/2/2003,0.0258,,16,,10.53,1.95,,,,,
AZ1169,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)OCCS(=O)(=O)C)C(=O)O)Cl)Cl,9/2/2003,0.0132,0.00547,>64,,4,-0.54,,,,,
AZ1170,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)Cl)C(=O)NN)Cl)Cl,9/2/2003,0.0634,,16,,<0.3,2.59,,,,,
AZ1171,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nnc(s3)C(=O)O)Cl)Cl,9/2/2003,0.0212,,>64,,5.9,-0.45,,,,,
AZ1172,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)OCCOC)C(=O)O)Cl)Cl,9/2/2003,0.0101,0.00431,4,,<0.1,,,,,,
AZ1173,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nc(c(s3)C(=O)O)C)Cl)Cl,9/4/2003,<0.0172,0.012,1,2.396,<0.3,0.88,,,,,
AZ1174,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)N4CCNCC4)C(=O)O)Cl)Cl,9/4/2003,0.0135,0.0103,>64,,9.7,-0.09,,,,,
AZ1175,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)N4CCN(CC4)C)C(=O)O)Cl)Cl,9/4/2003,0.0109,0.00911,64,,0.3,,,,,,
AZ1176,CCSc1cc(nc(n1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl)C(=O)O,9/5/2003,0.0602,,8,,<0.7,,,,,,
AZ1177,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)N4CCCC4)C(=O)NOC)Cl)Cl,9/8/2003,0.0476,,16,,<0.6,,,,,,
AZ1178,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)OCCO)C(=O)NOC)Cl)Cl,9/9/2003,0.012,0.0125,8,,1.7,,,,,,
AZ1179,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)OCCS(=O)(=O)C)C(=O)NOC)Cl)Cl,9/9/2003,<0.00977,0.00936,4,,2.933,2.28,,,,,
AZ1180,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cccc(c3)C(=O)O)Cl)Cl,9/9/2003,0.0383,,2,,<0.3,,,,,,
AZ1181,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)SC(C)C)C(=O)NOC)Cl)Cl,9/15/2003,0.0591,,4,,<0.2,1.67,,,,,
AZ1182,CCSc1cc(nc(n1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl)C(=O)OC,9/15/2003,2.67,,>64,,,,,,,,
AZ1183,CCSc1cc(nc(n1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl)C(=O)NOC,9/15/2003,1.16,,>64,,,,,,,,
AZ1184,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nncs3)Cl)Cl,9/16/2003,<0.116,0.0332,5.66,11.78,3.56,2.73,,,,,
AZ1185,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)OCCO)C(=O)O)Cl)Cl,9/16/2003,<0.00977,0.00331,32,,<1,,,,,,
AZ1186,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3ncc(s3)C(=O)NN)Cl)Cl,9/16/2003,0.0607,,16,,2.6,,,,,,
AZ1187,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nc(cc(n3)OC)C(=O)O)Cl)Cl,9/17/2003,<0.112,0.124,32,,,,,,,,
AZ1188,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nc(cc(n3)OC)C(=O)NOC)Cl)Cl,9/17/2003,0.714,,>64,,,,,,,,
AZ1189,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)N4CCN(CC4)C)C(=O)NOC)Cl)Cl,9/17/2003,0.0286,0.0189,16,,1.467,,,,,,
AZ1190,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)SC(C)C)C(=O)N)Cl)Cl,9/17/2003,0.0579,0.0422,4,,<0.5,,,,,,
AZ1191,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)N4CCNCC4)C(=O)NOC)Cl)Cl,9/23/2003,0.0309,0.0272,16,,4.233,,,,,,
AZ1192,CCS(=O)(=O)c1cc(nc(n1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl)C(=O)NOC,9/23/2003,0.271,,32,,,,,,,,
AZ1193,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)OCCNS(=O)(=O)C)C(=O)NOC)Cl)Cl,9/23/2003,0.0141,0.0146,16,,2.55,,,,,,
AZ1194,c1ccc2c(c1)C[C@H]([C@@H]2CC(=O)O)NC(=O)c3cc4cc(sc4[nH]3)Cl,9/23/2003,>400,,,,0.05,1.74,,,,,
AZ1195,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)OCCN(C)C)C(=O)O)Cl)Cl,9/23/2003,0.0136,0.0147,>64,,17.27,,,,,,
AZ1196,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)OCCN(C)C)C(=O)NOC)Cl)Cl,9/24/2003,0.0459,,32,,3.367,,,,,,
AZ1197,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3ncc(s3)c4[nH]nnn4)Cl)Cl,9/30/2003,0.0302,,>64,,<1.4,,,,,,
AZ1198,CCCCc1c(sc(n1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl)C(=O)O,9/30/2003,0.449,,32,,<1.6,,,,,,
AZ1199,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nc(cs3)/C(=N/O)/N)Cl)Cl,9/30/2003,0.0657,,>64,,1.533,,,,,,
AZ1200,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)S(=O)(=O)C(C)C)C(=O)NOC)Cl)Cl,10/2/2003,0.0118,0.0101,2,,<0.7,,,,,,
AZ1201,CCCCOc1nc(cc(n1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl)C(=O)NOC,8/12/2003,0.0259,0.0351,4,,<0.1,,,,,,
AZ1202,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)OCCNC(=O)OC(C)(C)C)C(=O)O)Cl)Cl,8/12/2003,<0.00977,0.00873,16,,,,,,,,
AZ1203,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)OCCN)C(=O)O)Cl)Cl,8/12/2003,0.0193,0.0193,>64,,,0.29,,,,,
AZ1204,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)SCCO)C(=O)NOC)Cl)Cl,10/6/2003,0.0109,0.0118,2,,<1,,,,,,
AZ1205,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3ncc(s3)C(=O)NS(=O)(=O)C)Cl)Cl,10/7/2003,0.0173,0.00592,>64,,3,,,,,,
AZ1206,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(c3)Br)C(=O)OC)Cl)Cl,10/7/2003,0.636,,>64,,,,,,,,
AZ1207,CCS(=O)c1nnc(s1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl,10/10/2003,0.0407,,8,,5.2,,,,,,
AZ1208,CCS(=O)(=O)c1nnc(s1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl,10/10/2003,0.0472,,8,,<0.8,,,,,,
AZ1209,Cc1c(c(c([nH]1)C(=O)N[C@@H]2CCN(C2)c3cc(nc(n3)Cl)C(=O)O)Cl)Cl,10/10/2003,1.45,,>64,,<0.7,,,,,,
AZ1210,Cc1c(c(c([nH]1)C(=O)N[C@H]2CCN(C2)c3cc(nc(n3)Cl)C(=O)O)Cl)Cl,10/10/2003,10.6,,>64,,,,,,,,
AZ1211,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)OCCOCCO)C(=O)O)Cl)Cl,10/15/2003,<0.00977,0.0039,64,,10.85,0.28,,,,,
AZ1212,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)OCCOC)C(=O)OCC(=O)OC(C)(C)C)Cl)Cl,10/15/2003,0.516,,8,,,,,,,,
AZ1213,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)S(=O)(=O)CCO)C(=O)NOC)Cl)Cl,10/17/2003,0.0122,0.0101,32,,7.1,,,,,,
AZ1214,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)Cl)C(=O)NCC=C)Cl)Cl,10/17/2003,0.191,,>64,,,,,,,,
AZ1215,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(c3)N4CCOCC4)C(=O)OC)Cl)Cl,10/22/2003,0.466,,>64,,,,,,,,
AZ1216,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)OCCOCCOC)C(=O)O)Cl)Cl,10/22/2003,<0.00977,0.00583,8,,1.85,,,,,,
AZ1217,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)OCCOC(C)C)C(=O)O)Cl)Cl,10/22/2003,<0.00977,0.00359,1,1.63,<0.5,,,,,,
AZ1218,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(c3)N4CCN(CC4)C)C(=O)OC)Cl)Cl,10/23/2003,0.0407,0.0385,16,,,,,,,,
AZ1219,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(c3)N4CCOCC4)C(=O)O)Cl)Cl,10/23/2003,0.727,,32,,0.6,,,,,,
AZ1220,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)Cl)C(=O)NS(=O)(=O)C)Cl)Cl,10/24/2003,0.0164,0.0154,64,,<0.9667,,,,,,
AZ1221,CCSc1nnc(s1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl,10/27/2003,0.0404,,>64,,<0.2,,,,,,
AZ1222,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(c3)Br)C(=O)O)Cl)Cl,10/27/2003,<0.00977,0.00516,0.5,,<0.4,,,,,,
AZ1223,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)OC)C(=O)O)Cl)Cl,10/28/2003,<0.00977,0.0039,16,,<0.2,,,,,,
AZ1224,Cc1c(c(c([nH]1)C(=O)N[C@H]2CCN(C2)c3cc(nc(n3)Cl)C(=O)NOC)Cl)Cl,10/28/2003,6.6,,>64,,<0.8,2.87,,,,,
AZ1225,Cc1c(c(c([nH]1)C(=O)N[C@H]2CCN(C2)c3ncc(s3)C(=O)OC)Cl)Cl,10/28/2003,3.73,,>64,,,,,,,,
AZ1226,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)OCCOCC=C)C(=O)O)Cl)Cl,10/28/2003,<0.00977,0.00248,1,1.636,<0.9,,,,,,
AZ1227,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)OCCN4CCOCC4)C(=O)O)Cl)Cl,10/30/2003,<0.00977,0.00957,16,,2.367,,,,,,
AZ1228,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(c3)N4CCN(CC4)C)C(=O)O)Cl)Cl,11/3/2003,0.059,0.0168,>64,,5.2,,,,,,
AZ1229,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)C(C)(C)C)C(=O)O)Cl)Cl,11/3/2003,0.017,0.0339,2,,<0.2,,,,,,
AZ1230,CCC(=O)OCCOc1cc(cc(n1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl)C(=O)O,11/4/2003,<0.00977,,1,,,,,,,,
AZ1231,Cc1c(c(c([nH]1)C(=O)NC2CN(C2)c3ncc(s3)C(=O)OC)Cl)Cl,11/4/2003,0.223,,>64,,,,,,,,
AZ1232,Cc1c(c(c([nH]1)C(=O)N[C@H]2CCN(C2)c3ncc(s3)C(=O)NOC)Cl)Cl,11/4/2003,2.97,,>64,,1.35,,,,,,
AZ1233,Cc1c(c(c([nH]1)C(=O)NC2CN(C2)c3cc(nc(n3)Cl)C(=O)O)Cl)Cl,11/4/2003,0.0367,,>64,,<4.825,,,,,,
AZ1234,Cc1c(c(c([nH]1)C(=O)NC2CN(C2)c3ncc(s3)C(=O)O)Cl)Cl,11/11/2003,0.0265,,45.3,,6.867,,,,,,
AZ1235,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)C(C)C)C(=O)O)Cl)Cl,11/11/2003,0.0322,,8,,<0.5,,,,,,
AZ1236,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)OCCCN(C)C)C(=O)O)Cl)Cl,11/11/2003,0.0189,0.0159,>64,,15.77,,,,,,
AZ1237,CCCCc1nc(cc(n1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl)C(=O)O,11/18/2003,<0.0192,0.0252,4,7.871,<0.3,,,,,,
AZ1238,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nc(c(s3)C(=O)O)COCCOC)Cl)Cl,11/19/2003,0.0237,0.0271,32,58.67,2.833,,,,,,
AZ1239,CCOC(=O)c1cc(cnc1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl,11/21/2003,0.151,,>64,>150.5,,,,,,,
AZ1240,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cnc3)C(=O)O)Cl)Cl,11/21/2003,<0.00977,0.00888,16,40.28,0.6667,0.05,,,,,
AZ1241,Cc1c(c(c([nH]1)C(=O)NC2CN(C2)c3ncc(s3)C(=O)NOC)Cl)Cl,12/1/2003,0.0647,,8,19.79,1.767,,,,,,
AZ1242,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cnc3)C(=O)OC)Cl)Cl,12/8/2003,0.782,,>64,>155.6,,,,,,,
AZ1243,Cc1c(c(c([nH]1)C(=O)NC2CN(C2)c3nc(c(s3)C(=O)O)C)Cl)Cl,12/15/2003,0.0151,0.0142,4,9.037,3.5,0.27,,,,,
AZ1244,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc4c3cccc4)C(=O)O)Cl)Cl,12/18/2003,0.00683,0.00103,0.5,1.118,,1.79,,,,,
AZ1245,Cc1c(c(c([nH]1)C(=O)N[C@@H]2CCN(C2)c3ncc(s3)C(=O)NOC)Cl)Cl,12/1/2003,1.46,,>64,>153,1.033,,,,,,
AZ1246,Cc1c(c(c([nH]1)C(=O)N[C@@H]2CCN(C2)c3cc(nc(n3)Cl)C(=O)NOC)Cl)Cl,11/11/2003,2.11,,>64,,<1.1,,,,,,
AZ1247,Cc1c(c(c([nH]1)C(=O)N[C@@H]2CCN(C2)c3ncc(s3)C(=O)O)Cl)Cl,11/4/2003,1.32,,>64,,1.75,,,,,,
AZ1248,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cccc(n3)C(=O)OC)Cl)Cl,1/5/2004,0.351,,>64,>155.6,,,,,,,
AZ1249,Cc1c(c(c([nH]1)C(=O)NC2CN(C2)c3nc(c(s3)C(=O)NOC)C)Cl)Cl,1/6/2004,0.0334,0.0515,16,38.25,1.767,2.08,,,,,
AZ1250,Cc1c(c(c([nH]1)C(=O)NC2CN(C2)c3cc(nc(n3)Cl)C(=O)NOC)Cl)Cl,1/6/2004,0.0195,0.0248,2,4.612,1.233,2.13,,,,,
AZ1251,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)Cl)C#N)Cl)Cl,1/9/2004,0.79,,>64,>154.7,<0.3,,,,,,
AZ1252,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)Cl)/C(=N/O)/N)Cl)Cl,1/9/2004,0.0706,,8,17.91,<0.2,>3.5,,,,,
AZ1253,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nnc(o3)C(=O)OC)Cl)Cl,1/12/2004,0.619,,>64,>124,,,,,,,
AZ1254,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cccc(n3)C(=O)O)Cl)Cl,1/12/2004,0.205,0.173,8,20.14,0.2,0.25,,,,,
AZ1255,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cnc3)C(=O)N)Cl)Cl,1/16/2004,0.0582,,>64,>161.5,<0.5,2.77,,,,,
AZ1256,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nnc(o3)CO)Cl)Cl,1/19/2004,0.166,0.555,64,131.1,3.333,1.96,,,,,
AZ1257,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cnc3)C(=O)NOC)Cl)Cl,1/28/2004,0.017,,2,4.692,0.4,2.87,,,,,
AZ1258,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc(n3)C4CC4)C(=O)O)Cl)Cl,1/30/2004,0.0556,,8,14.48,<0.2,,,,,,
AZ1259,CCOC(=O)c1c(nc(s1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl)CN,2/2/2004,0.787,,16,27.85,,,,,,,
AZ1260,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nc(c(s3)C(=O)O)CN)Cl)Cl,2/2/2004,0.0315,0.0189,>64,>115.9,11.03,0.94,,,,,
AZ1261,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nc(c(s3)C(=O)O)CNC(=N)N)Cl)Cl,2/2/2004,<0.00977,,>64,>134.9,2.867,1.43,,,,,
AZ1262,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nc(c(s3)C(=O)O)CNC(=O)c4ccccc4C(=O)O)Cl)Cl,2/2/2004,0.0141,,64,103.7,0.9,,,,,,
AZ1263,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(c3)C(=O)O)CC=C)Cl)Cl,2/3/2004,0.0383,,1,2.292,<0.3,,,,,,
AZ1264,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(on3)C(=O)O)Cl)Cl,2/3/2004,1.08,,>64,>165.3,12.8,,,,,,
AZ1265,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(c3)C(=O)OC)CC=C)Cl)Cl,1/12/2004,2.19,,>64,>142.1,,,,,,,
AZ1266,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nc(c(s3)C(=O)O)CNS(=O)(=O)C)Cl)Cl,2/16/2004,0.0199,,>64,>125.4,3.933,,,,,,
AZ1267,CC[C@@H](C(=O)N(C)[C@@H]1c2ccccc2C[C@H]1NC(=O)c3cc4cc(ccc4[nH]3)F)O,2/17/2004,>200,,,,1.82,3.77,,,,,
AZ1268,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nc(c(s3)C(=O)O)COC)Cl)Cl,11/20/2003,0.014,0.0117,8,12.51,,,,,,,
AZ1269,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nc(c(s3)C(=O)O)CNC(=O)NC(C)(C)C)Cl)Cl,2/24/2004,<0.00977,0.00711,64,120.4,0.7,,,,,,
AZ1270,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nc(c(s3)C(=O)O)COC(=O)C)Cl)Cl,2/24/2004,0.0276,0.0203,16,33.66,,0.24,,,,,
AZ1271,CCNC(=O)NCc1c(sc(n1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl)C(=O)O,2/24/2004,0.0138,0.0116,>64,>127.1,1.2,0.2,,,,,
AZ1272,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3ncc(s3)S(=O)(=O)O)Cl)Cl,2/24/2004,0.0285,0.0511,>64,>145.7,2.767,,,,,,
AZ1273,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3ncc(s3)S(=O)(=O)N)Cl)Cl,2/24/2004,0.0483,0.0866,>64,>146,3.133,,,,,,
AZ1274,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nnco3)Cl)Cl,2/25/2004,0.229,,32,69.84,8.4,,,,,,
AZ1275,CCCC(=O)OCc1c(sc(n1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl)C(=O)O,3/1/2004,<0.00977,0.00877,1,1.62,0.4667,,,,,,
AZ1276,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(c[n+](c3)[O-])C(=O)OC)Cl)Cl,3/1/2004,0.0935,,>64,>149.8,,,,,,,
AZ1277,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nc(c(s3)C(=O)O)CO)Cl)Cl,3/2/2004,0.0241,,8,12.79,3.4,,,,,,
AZ1278,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3nnc(o3)C(=O)O)Cl)Cl,3/8/2004,<0.224,0.0209,64,128.4,,,,,,,
AZ1279,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(c[n+](c3)[O-])C(=O)O)Cl)Cl,3/16/2004,0.0177,0.00857,>64,>154.9,9.333,,,,,,
AZ1280,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(ccc3C(=O)OC)C(=O)OC)Cl)Cl,3/22/2004,0.216,,>64,>136.7,,,,,,,
AZ1281,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc4c3cc(cc4)Cl)C(=O)O)Cl)Cl,3/24/2004,<0.00977,0.00241,0.13,0.2698,,,,,,,
AZ1282,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(nc4c3cccc4OC)C(=O)O)Cl)Cl,3/31/2004,<0.00977,0.00328,1,2.095,,,,,,,
AZ1283,Cc1[nH]c(c(c1Cl)Cl)C(=O)N[C@H]2CC[C@H](CC2)c3cc(ccc3)C(=O)O,4/1/2004,33.3,,>64,>161.9,,,,,,,
AZ1284,CCOC(=O)c1cccc(c1)C2(CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl)O,4/2/2004,>50,,>64,>145.7,,,,,,,
AZ1285,Cc1c(c(c([nH]1)C(=O)NC2CCC(CC2)(c3cccc(c3)C(=O)O)O)Cl)Cl,4/5/2004,>50,,>64,>155.6,,,,,,,
AZ1286,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(c3)C(=O)OC)C(=O)OC)Cl)Cl,4/9/2004,0.422,,>64,>136.7,,,,,,,
AZ1287,CCCC(=O)NCc1c(sc(n1)N2CCC(CC2)NC(=O)c3c(c(c([nH]3)C)Cl)Cl)C(=O)O,4/13/2004,0.0114,0.00606,64,113.8,,0.59,,,,,
AZ1288,Cc1c(c(c([nH]1)C(=O)NC2CCC(=CC2)c3cccc(c3)C(=O)O)Cl)Cl,4/14/2004,0.0346,0.0218,2,5.086,,2.15,,,,,
AZ1289,Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(c3)C(=O)O)C(=O)O)Cl)Cl,4/19/2004,0.0209,0.0121,>64,>132.2,,<-1,,,,,
AZ1290,Cc1c(c(c([nH]1)C(=O)N[C@H]2CCN(C[C@H]2OC)c3ncc(s3)C(=O)O)Cl)Cl,4/20/2004,0.00858,<0.00175,1,2.308,,0.23,,,,,
AZ1291,Cc1[nH]c(c(c1Cl)Cl)C(=O)N[C@H]2CC[C@@H](CC2)c3cc(ccc3)C(=O)O,4/23/2004,0.176,0.224,16,40.48,,2.29,,,,,
